TEAM,YEAR_2016,YEAR_2015,YEAR_2014,YEAR_2013,YEAR_2012,YEAR_2011,YEAR_2010,YEAR_2009,YEAR_2008,YEAR_2007,YEAR_2006,YEAR_2005,YEAR_2004,YEAR_2003,YEAR_2002,YEAR_2001,YEAR_2000,YEAR_1999,YEAR_1998,YEAR_1997,YEAR_1996,YEAR_1995,YEAR_1994,YEAR_1993,YEAR_1992,YEAR_1991,YEAR_1990,YEAR_1989,YEAR_1988,YEAR_1987,YEAR_1986,YEAR_1985,YEAR_1984,YEAR_1983,YEAR_1982,YEAR_1981,YEAR_1980,YEAR_1979,YEAR_1978,YEAR_1977,YEAR_1976,YEAR_1975,YEAR_1974,YEAR_1973,YEAR_1972,YEAR_1971,YEAR_1970,YEAR_1969,YEAR_1968,YEAR_1967,YEAR_1966,YEAR_1965,YEAR_1964,YEAR_1963,YEAR_1962,YEAR_1961,YEAR_1960,YEAR_1959,YEAR_1958,YEAR_1957,YEAR_1956,YEAR_1955,YEAR_1954,YEAR_1953,YEAR_1952,YEAR_1951,YEAR_1950,YEAR_1949,YEAR_1948,YEAR_1947,YEAR_1946,YEAR_1945,YEAR_1944,YEAR_1943,YEAR_1942,YEAR_1941,YEAR_1940,YEAR_1939,YEAR_1938,YEAR_1937,YEAR_1936,YEAR_1935,YEAR_1934,YEAR_1933,YEAR_1932,YEAR_1931,YEAR_1930,YEAR_1929,YEAR_1928,YEAR_1927,YEAR_1926,YEAR_1925,YEAR_1924,YEAR_1923,YEAR_1922,YEAR_1921,YEAR_1920,YEAR_1919,YEAR_1918,YEAR_1917,YEAR_1916,YEAR_1915,YEAR_1914,YEAR_1913,YEAR_1912,YEAR_1911,YEAR_1910,YEAR_1909,YEAR_1908,YEAR_1907,YEAR_1906,YEAR_1905,YEAR_1904,YEAR_1903,YEAR_1902,YEAR_1901
Arizona Diamondbacks,69,79,64,81,81,94,65,70,82,90,76,77,51,84,98,92,85,100,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta Braves,68,67,79,96,94,89,91,86,72,84,79,90,96,101,101,88,95,103,106,101,96,90,68,104,98,94,65,63,54,69,72,66,80,88,89,50,81,66,69,61,70,67,88,76,70,82,76,93,81,77,85,86,88,84,86,83,88,86,92,95,92,85,89,92,64,76,83,75,91,86,81,67,65,68,59,62,65,63,77,79,71,38,78,83,77,64,70,56,50,60,66,70,53,54,53,79,62,57,53,72,89,83,94,69,52,44,53,45,63,58,49,51,55,58,73,69
Baltimore Orioles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,68
Baltimore Orioles,89,81,96,85,93,69,66,64,68,69,70,74,78,71,67,63,74,78,79,98,88,71,63,85,89,67,76,87,54,67,73,83,85,98,94,59,100,102,90,97,88,90,91,97,80,101,108,109,91,76,97,94,97,86,77,95,89,74,74,76,69,57,54,54,64,52,58,53,59,59,66,81,89,72,82,70,67,43,55,46,57,65,67,55,63,63,64,79,82,59,62,82,74,74,93,81,76,67,58,57,79,63,71,57,53,45,47,61,83,69,76,54,65,65,78,48
Boston Red Sox,93,78,71,97,69,90,89,95,95,96,86,95,98,95,93,82,85,94,92,78,85,86,54,80,73,84,88,83,89,78,95,81,86,78,89,59,83,91,99,97,83,95,84,89,85,85,87,87,86,92,72,62,72,76,76,76,65,75,79,82,84,84,69,84,76,87,94,96,96,83,104,71,77,68,93,84,82,89,88,80,74,78,76,63,43,62,52,58,57,51,46,47,67,61,61,75,72,66,75,90,91,101,91,79,105,78,81,88,75,59,49,78,95,91,77,79
Chicago Cubs,103,97,73,66,61,71,75,83,97,85,66,79,89,88,67,88,65,67,90,68,76,73,49,84,78,77,77,93,77,76,70,77,96,71,73,38,64,80,79,81,75,75,66,77,85,83,84,92,84,87,59,72,76,82,59,64,60,74,72,62,60,72,64,65,77,62,64,61,64,69,82,98,75,74,68,70,75,84,89,93,87,100,86,86,90,84,90,98,91,85,82,68,81,83,80,64,75,75,84,74,67,73,78,88,91,92,104,104,99,107,116,92,93,82,68,53
Chicago White Sox,78,76,73,63,85,79,88,79,89,72,90,99,83,86,81,83,95,75,80,80,85,68,67,94,86,87,94,69,71,77,72,85,74,99,87,54,70,73,71,90,64,75,80,77,87,79,56,68,67,89,83,95,98,94,85,86,87,94,82,90,85,91,94,89,81,81,60,63,51,70,74,71,71,82,66,77,82,85,65,86,81,74,53,67,49,56,62,59,72,70,81,79,66,69,77,62,96,88,57,100,89,93,70,78,78,77,68,78,88,87,93,92,89,60,74,83
Cincinnati Reds,68,64,76,90,97,79,91,78,74,72,80,73,76,69,78,66,85,96,77,76,81,85,66,73,90,74,91,75,87,84,86,89,70,74,61,66,89,90,92,88,102,108,98,99,95,79,102,89,83,87,76,89,92,86,98,93,67,74,76,80,91,75,74,68,69,68,66,62,64,73,67,61,89,87,76,88,100,97,82,56,74,68,52,58,60,58,59,66,78,75,87,80,83,91,86,70,82,96,68,78,60,71,60,64,75,70,75,77,73,66,64,79,88,74,70,52
Cleveland Indians,94,81,85,92,68,80,69,65,81,96,78,93,80,68,74,91,90,97,89,86,99,100,66,76,76,57,77,73,78,61,84,60,75,70,78,52,79,81,69,71,81,79,77,71,72,60,76,62,86,75,81,87,79,79,80,78,76,89,77,76,88,93,111,92,93,93,92,89,97,80,68,73,72,82,75,75,89,87,86,83,80,82,85,75,87,78,81,81,62,66,88,70,67,82,78,94,98,84,73,88,77,57,51,86,75,80,71,71,90,85,89,76,86,77,69,54
Colorado Rockies,75,68,66,74,64,73,83,92,74,90,76,67,68,74,73,73,82,72,77,83,83,77,53,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
